State,deaths,cases
AK,862,151979
AL,16203,850096
AR,8796,535450
AZ,22779,1301597
CA,75279,5141243
CO,9694,854249
CT,8946,433464
DE,2206,157751
FL,61789,3705899
GA,29634,1641485
HI,1036,85536
IA,7550,542433
ID,4002,310690
IL,29734,1872854
IN,17909,1143787
KS,6799,483217
KY,11489,810148
LA,14861,774913
MA,19579,957889
MD,11255,592912
ME,1356,125373
MI,26614,1550852
MN,9898,948614
MO,15667,945190
MS,10312,517925
MT,2782,193491
NC,18933,1558804
ND,1978,165884
NE,2851,318657
NH,1768,171538
NJ,28518,1283925
NM,5447,326713
NV,8146,476196
NY,57449,2805294
OH,27011,1752508
OK,11384,676890
OR,5318,398262
PA,34198,1799753
RI,2949,198729
SC,14334,926454
SD,2384,170416
TN,17519,1301673
TX,74685,4356555
UT,3622,608089
VA,14838,988147
VT,425,53835
WA,9548,789906
WI,10260,1012360
WV,5036,303173
WY,1472,112551
