State,deaths,cases
Autauga,158.0,10596
Baldwin,591.0,38307
Barbour,81.0,3716
Bibb,95.0,4379
Blount,193.0,10857
Bullock,46.0,1537
Butler,102.0,3466
Calhoun,522.0,22695
Chambers,143.0,5830
Cherokee,64.0,3230
Chilton,172.0,7146
Choctaw,28.0,956
Clarke,86.0,4865
Clay,69.0,2535
Cleburne,60.0,2566
Coffee,192.0,9461
Colbert,212.0,9412
Conecuh,62.0,1942
Coosa,48.0,1876
Covington,197.0,7019
Crenshaw,79.0,2627
Cullman,307.0,16285
Dale,193.0,9080
Dallas,211.0,5326
DeKalb,273.0,13165
Elmore,296.0,16031
Escambia,147.0,6974
Etowah,524.0,20142
Fayette,85.0,3341
Franklin,108.0,6408
Geneva,137.0,4673
Greene,45.0,1311
Hale,89.0,3213
Henry,66.0,3233
Houston,427.0,17853
Jackson,199.0,10294
Jefferson,2004.0,116616
Lamar,55.0,2547
Lauderdale,309.0,15201
Lawrence,130.0,4882
Lee,265.0,25761
Limestone,222.0,16288
Lowndes,68.0,1785
Macon,68.0,2472
Madison,747.0,53880
Marengo,93.0,3430
Marion,132.0,5458
Marshall,320.0,18938
Mobile,1386.0,74617
Monroe,66.0,3385
Montgomery,788.0,34669
Morgan,414.0,22684
Perry,41.0,1421
Pickens,91.0,3358
Pike,109.0,5166
Randolph,67.0,3404
Russell,66.0,7149
Shelby,375.0,38593
St. Clair,361.0,17046
Sumter,42.0,1405
Talladega,304.0,14319
Tallapoosa,203.0,7321
Tuscaloosa,646.0,36351
Walker,386.0,12272
Washington,51.0,2575
Wilcox,38.0,1789
Winston,111.0,4821
