State,deaths,cases
Arkansas,62.0,3563
Ashley,51.0,3261
Baxter,194.0,6395
Benton,650.0,44726
Boone,132.0,6682
Bradley,42.0,2040
Calhoun,8.0,609
Carroll,78.0,4482
Chicot,47.0,2045
Clark,63.0,3415
Clay,77.0,2866
Cleburne,95.0,4105
Cleveland,34.0,1471
Columbia,75.0,3437
Conway,46.0,3355
Craighead,251.0,22684
Crawford,184.0,11200
Crittenden,185.0,9095
Cross,69.0,3074
Dallas,19.0,1153
Desha,33.0,1974
Drew,56.0,2990
Faulkner,228.0,20761
Franklin,56.0,2841
Fulton,70.0,1959
Garland,407.0,16324
Grant,51.0,2964
Greene,129.0,10628
Hempstead,44.0,3092
Hot Spring,112.0,7849
Howard,39.0,2586
Independence,166.0,7092
Izard,56.0,2784
Jackson,47.0,4642
Jefferson,233.0,12550
Johnson,61.0,4768
Lafayette,28.0,872
Lawrence,62.0,3527
Lee,53.0,2220
Lincoln,58.0,3761
Little River,83.0,2138
Logan,53.0,3764
Lonoke,177.0,12653
Madison,42.0,2763
Marion,66.0,2449
Miller,151.0,6741
Mississippi,153.0,8860
Monroe,25.0,1219
Montgomery,49.0,1179
Nevada,41.0,1426
Newton,41.0,1284
Ouachita,88.0,3522
Perry,23.0,1627
Phillips,78.0,3271
Pike,38.0,1781
Poinsett,102.0,5239
Polk,112.0,3025
Pope,159.0,12473
Prairie,29.0,1305
Pulaski,943.0,60970
Randolph,65.0,3559
Saline,252.0,19224
Scott,32.0,1779
Searcy,26.0,1357
Sebastian,403.0,23598
Sevier,61.0,4153
Sharp,73.0,3221
St. Francis,71.0,4923
Stone,46.0,1987
Union,145.0,6093
Unknown,0.0,5888
Van Buren,44.0,2369
Washington,502.0,46339
White,207.0,14195
Woodruff,24.0,1150
Yell,85.0,4842
