State,deaths,cases
Adams,1015.0,88765
Alamosa,51.0,3004
Arapahoe,1024.0,93807
Archuleta,8.0,1972
Baca,6.0,576
Bent,34.0,1922
Boulder,318.0,35905
Broomfield,89.0,7847
Chaffee,38.0,2755
Cheyenne,7.0,240
Clear Creek,7.0,917
Conejos,42.0,1162
Costilla,13.0,436
Crowley,27.0,2484
Custer,13.0,477
Delta,109.0,4674
Denver,1047.0,104584
Dolores,5.0,271
Douglas,355.0,47925
Eagle,32.0,9402
El Paso,1310.0,117803
Elbert,29.0,3099
Fremont,146.0,10333
Garfield,75.0,9081
Gilpin,4.0,547
Grand,17.0,2358
Gunnison,12.0,2049
Hinsdale,0.0,65
Huerfano,23.0,870
Jackson,0.0,126
Jefferson,1030.0,75181
Kiowa,4.0,275
Kit Carson,24.0,1200
La Plata,64.0,7169
Lake,1.0,1208
Larimer,386.0,46491
Las Animas,27.0,2290
Lincoln,8.0,1412
Logan,94.0,5173
Mesa,424.0,28908
Mineral,1.0,150
Moffat,47.0,2210
Montezuma,50.0,4060
Montrose,122.0,6850
Morgan,119.0,4103
Otero,108.0,3282
Ouray,6.0,532
Park,13.0,1778
Phillips,15.0,595
Pitkin,6.0,3334
Prowers,40.0,1991
Pueblo,619.0,30308
Rio Blanco,11.0,1243
Rio Grande,34.0,1900
Routt,24.0,3890
Saguache,9.0,824
San Juan,0.0,108
San Miguel,5.0,1298
Sedgwick,6.0,359
Summit,12.0,5496
Teller,46.0,3420
Unknown,0.0,91
Washington,24.0,756
Weld,558.0,54527
Yuma,20.0,1409
