State,deaths,cases
Alachua,536.0,40321
Baker,122.0,6023
Bay,698.0,32055
Bradford,125.0,5356
Brevard,1772.0,82136
Broward,4935.0,363001
Calhoun,85.0,3014
Charlotte,672.0,23758
Citrus,835.0,20793
Clay,704.0,34204
Collier,875.0,57780
Columbia,318.0,15034
DeSoto,136.0,6964
Dixie,41.0,2976
Duval,2868.0,166147
Escambia,1088.0,54242
Flagler,276.0,14701
Franklin,45.0,2232
Gadsden,159.0,8745
Gilchrist,64.0,3192
Glades,33.0,1459
Gulf,64.0,2984
Hamilton,49.0,2762
Hardee,103.0,6108
Hendry,143.0,8042
Hernando,926.0,28876
Highlands,562.0,16159
Hillsborough,3119.0,246780
Holmes,72.0,3871
Indian River,568.0,22399
Jackson,240.0,10202
Jefferson,36.0,2504
Lafayette,51.0,2227
Lake,1243.0,55746
Lee,1844.0,127007
Leon,526.0,51313
Levy,113.0,7095
Liberty,23.0,1844
Madison,60.0,3662
Manatee,1219.0,65814
Marion,1780.0,57594
Martin,517.0,20504
Miami-Dade,9187.0,683842
Monroe,98.0,10931
Nassau,248.0,15276
Okaloosa,576.0,34955
Okeechobee,163.0,7437
Orange,2274.0,231979
Osceola,919.0,73093
Palm Beach,4295.0,229254
Pasco,1597.0,80464
Pinellas,2753.0,136664
Polk,2505.0,130542
Putnam,379.0,12880
Santa Rosa,523.0,32816
Sarasota,1333.0,56445
Seminole,891.0,63663
St. Johns,473.0,41549
St. Lucie,1038.0,48317
Sumter,472.0,14863
Suwannee,187.0,9297
Taylor,83.0,4637
Union,100.0,3088
Unknown,405.0,2708
Volusia,1528.0,77710
Wakulla,106.0,6481
Walton,173.0,12108
Washington,75.0,4589
