State,deaths,cases
Appling,107.0,3549
Atkinson,37.0,1607
Bacon,64.0,2664
Baker,14.0,375
Baldwin,199.0,6815
Banks,68.0,2867
Barrow,202.0,15210
Bartow,368.0,21193
Ben Hill,109.0,3274
Berrien,71.0,3521
Bibb,662.0,26227
Bleckley,85.0,2365
Brantley,89.0,3148
Brooks,73.0,2453
Bryan,75.0,6397
Bulloch,223.0,11322
Burke,86.0,3807
Butts,123.0,4803
Calhoun,21.0,861
Camden,97.0,8113
Candler,90.0,1580
Carroll,357.0,16829
Catoosa,122.0,10011
Charlton,56.0,2325
Chatham,723.0,39458
Chattahoochee,21.0,6185
Chattooga,108.0,4752
Cherokee,487.0,45221
Clarke,187.0,20525
Clay,4.0,317
Clayton,779.0,40695
Clinch,36.0,1502
Cobb,1436.0,113519
Coffee,243.0,8073
Colquitt,203.0,7859
Columbia,319.0,25510
Cook,65.0,3643
Coweta,392.0,21569
Crawford,46.0,1157
Crisp,117.0,3215
Dade,22.0,2271
Dawson,77.0,4840
DeKalb,1389.0,95231
Decatur,110.0,4850
Dodge,134.0,3667
Dooly,62.0,1673
Dougherty,427.0,12642
Douglas,308.0,22931
Early,58.0,1907
Echols,11.0,737
Effingham,175.0,9048
Elbert,92.0,3420
Emanuel,142.0,4497
Evans,54.0,1656
Fannin,114.0,3940
Fayette,247.0,13716
Floyd,401.0,19019
Forsyth,292.0,35786
Franklin,85.0,4081
Fulton,1852.0,136646
Gilmer,139.0,4896
Glascock,21.0,417
Glynn,342.0,15562
Gordon,206.0,11745
Grady,92.0,3713
Greene,74.0,2783
Gwinnett,1539.0,137860
Habersham,213.0,7792
Hall,684.0,39782
Hancock,82.0,1152
Haralson,130.0,3893
Harris,96.0,3885
Hart,73.0,3638
Heard,42.0,1507
Henry,523.0,39407
Houston,417.0,25656
Irwin,42.0,1469
Jackson,226.0,15181
Jasper,59.0,2199
Jeff Davis,61.0,2983
Jefferson,91.0,2731
Jenkins,60.0,1198
Johnson,64.0,1572
Jones,99.0,3575
Lamar,99.0,3496
Lanier,17.0,1494
Laurens,256.0,9297
Lee,82.0,4849
Liberty,132.0,7695
Lincoln,33.0,1227
Long,28.0,1796
Lowndes,323.0,21630
Lumpkin,110.0,5009
Macon,45.0,1356
Madison,81.0,5083
Marion,41.0,992
McDuffie,78.0,3606
McIntosh,33.0,1723
Meriwether,120.0,3059
Miller,24.0,1250
Mitchell,101.0,3447
Monroe,153.0,4300
Montgomery,44.0,1549
Morgan,49.0,3475
Murray,149.0,7824
Muscogee,667.0,24920
Newton,367.0,16831
Oconee,82.0,5926
Oglethorpe,43.0,2276
Paulding,350.0,26129
Peach,115.0,4209
Pickens,123.0,5798
Pierce,106.0,4367
Pike,71.0,3913
Polk,164.0,8704
Pulaski,67.0,1547
Putnam,88.0,3318
Quitman,4.0,259
Rabun,76.0,2690
Randolph,43.0,1033
Richmond,743.0,35890
Rockdale,250.0,11832
Schley,8.0,720
Screven,62.0,1834
Seminole,26.0,1562
Spalding,331.0,10707
Stephens,121.0,4925
Stewart,29.0,1604
Sumter,140.0,4350
Talbot,29.0,749
Taliaferro,3.0,169
Tattnall,115.0,3877
Taylor,40.0,1304
Telfair,75.0,2297
Terrell,58.0,1264
Thomas,183.0,7932
Tift,186.0,8438
Toombs,177.0,5513
Towns,84.0,1827
Treutlen,54.0,1255
Troup,326.0,11040
Turner,50.0,1751
Twiggs,62.0,1109
Union,130.0,3656
Unknown,7.0,3753
Upson,190.0,5512
Walker,164.0,11958
Walton,354.0,15651
Ware,251.0,7627
Warren,26.0,779
Washington,124.0,3254
Wayne,176.0,5862
Webster,6.0,278
Wheeler,36.0,986
White,133.0,4979
Whitfield,354.0,23298
Wilcox,62.0,1311
Wilkes,38.0,1594
Wilkinson,46.0,1525
Worth,96.0,3145
