State,deaths,cases
Adair,41.0,1219
Adams,9.0,602
Allamakee,56.0,2166
Appanoose,58.0,2156
Audubon,17.0,797
Benton,60.0,4305
Black Hawk,387.0,22916
Boone,43.0,4086
Bremer,74.0,4114
Buchanan,43.0,3283
Buena Vista,49.0,5078
Butler,47.0,2441
Calhoun,19.0,2024
Carroll,56.0,3779
Cass,68.0,2396
Cedar,27.0,2768
Cerro Gordo,128.0,8438
Cherokee,47.0,2233
Chickasaw,23.0,1923
Clarke,29.0,1675
Clay,38.0,3012
Clayton,62.0,2605
Clinton,116.0,8421
Crawford,48.0,3605
Dallas,117.0,15941
Davis,25.0,1286
Decatur,14.0,1095
Delaware,56.0,3135
Des Moines,109.0,7223
Dickinson,56.0,3230
Dubuque,246.0,19582
Emmet,46.0,1850
Fayette,56.0,2977
Floyd,50.0,2678
Franklin,32.0,1926
Fremont,14.0,1009
Greene,18.0,1309
Grundy,37.0,1914
Guthrie,39.0,1737
Hamilton,58.0,2656
Hancock,41.0,2302
Hardin,54.0,2973
Harrison,80.0,2506
Henry,55.0,4304
Howard,24.0,1566
Humboldt,33.0,1934
Ida,41.0,1385
Iowa,36.0,2420
Jackson,47.0,3434
Jasper,91.0,6446
Jefferson,44.0,2375
Johnson,108.0,20664
Jones,64.0,4250
Keokuk,40.0,1562
Kossuth,78.0,3040
Lee,107.0,6091
Linn,433.0,33975
Louisa,53.0,1832
Lucas,28.0,1297
Lyon,42.0,2144
Madison,25.0,2416
Mahaska,67.0,3815
Marion,100.0,5784
Marshall,94.0,6856
Mills,30.0,2330
Mitchell,44.0,1899
Monona,40.0,1287
Monroe,41.0,1474
Montgomery,47.0,1655
Muscatine,118.0,6861
O'Brien,66.0,2549
Osceola,18.0,1075
Page,35.0,2805
Palo Alto,32.0,1554
Plymouth,89.0,5020
Pocahontas,25.0,1233
Polk,824.0,83876
Pottawattamie,219.0,16666
Poweshiek,43.0,2481
Ringgold,30.0,837
Sac,26.0,1797
Scott,301.0,28028
Shelby,43.0,2066
Sioux,77.0,6320
Story,59.0,14273
Tama,78.0,2891
Taylor,14.0,1033
Union,41.0,2042
Unknown,0.0,3893
Van Buren,23.0,988
Wapello,146.0,6748
Warren,108.0,8861
Washington,65.0,4030
Wayne,25.0,902
Webster,125.0,7653
Winnebago,40.0,2320
Winneshiek,44.0,2791
Woodbury,269.0,21077
Worth,10.0,1271
Wright,52.0,2740
