State,deaths,cases
Adams,192.0,14987
Alexander,13.0,829
Bond,34.0,2849
Boone,99.0,9174
Brown,18.0,1156
Bureau,114.0,5115
Calhoun,5.0,867
Carroll,42.0,2781
Cass,40.0,2862
Champaign,217.0,31639
Christian,102.0,6145
Clark,52.0,3090
Clay,59.0,3051
Clinton,115.0,7687
Coles,141.0,9027
Cook,12166.0,699372
Crawford,47.0,3640
Cumberland,40.0,2175
De Witt,38.0,2594
DeKalb,152.0,14387
Douglas,44.0,3738
DuPage,1504.0,122720
Edgar,71.0,3137
Edwards,20.0,1188
Effingham,123.0,7432
Fayette,74.0,4789
Ford,67.0,2803
Franklin,137.0,7969
Fulton,96.0,5897
Gallatin,11.0,840
Greene,53.0,2274
Grundy,95.0,8657
Hamilton,26.0,1463
Hancock,45.0,3163
Hardin,16.0,698
Henderson,23.0,844
Henry,114.0,7691
Iroquois,88.0,4936
Jackson,109.0,8601
Jasper,23.0,1798
Jefferson,148.0,7126
Jersey,74.0,3936
Jo Daviess,32.0,2701
Johnson,38.0,2539
Kane,966.0,76493
Kankakee,281.0,20336
Kendall,129.0,19339
Knox,210.0,8159
LaSalle,351.0,17055
Lake,1193.0,90507
Lawrence,46.0,3613
Lee,105.0,5431
Livingston,119.0,6679
Logan,90.0,5501
Macon,275.0,17592
Macoupin,147.0,7882
Madison,704.0,44321
Marion,161.0,7703
Marshall,25.0,1637
Mason,54.0,2432
Massac,58.0,2426
McDonough,81.0,4278
McHenry,375.0,41371
McLean,273.0,26700
Menard,19.0,1994
Mercer,37.0,2444
Monroe,105.0,5826
Montgomery,91.0,5591
Morgan,125.0,5651
Moultrie,43.0,2739
Ogle,108.0,9083
Peoria,426.0,30153
Perry,88.0,4643
Piatt,21.0,2549
Pike,61.0,3060
Pope,6.0,623
Pulaski,13.0,1120
Putnam,6.0,679
Randolph,110.0,5869
Richland,72.0,3279
Rock Island,431.0,21697
Saline,90.0,4676
Sangamon,340.0,28814
Schuyler,24.0,1202
Scott,7.0,802
Shelby,57.0,4068
St. Clair,664.0,44043
Stark,29.0,958
Stephenson,133.0,7629
Tazewell,394.0,23668
Union,56.0,3386
Unknown,1008.0,0
Vermilion,237.0,17388
Wabash,22.0,2293
Warren,72.0,2716
Washington,36.0,2290
Wayne,67.0,3340
White,43.0,2966
Whiteside,232.0,9629
Will,1261.0,103822
Williamson,202.0,13198
Winnebago,639.0,49661
Woodford,107.0,6673
