State,deaths,cases
Adams,82.0,5659
Allen,929.0,69483
Bartholomew,201.0,13461
Benton,18.0,1743
Blackford,47.0,2319
Boone,134.0,10145
Brown,51.0,1840
Carroll,44.0,3096
Cass,133.0,8387
Clark,294.0,20655
Clay,63.0,4758
Clinton,87.0,6450
Crawford,30.0,1736
Daviess,121.0,5219
DeKalb,115.0,8141
Dearborn,110.0,9210
Decatur,117.0,4819
Delaware,319.0,17349
Dubois,144.0,8993
Elkhart,580.0,41350
Fayette,105.0,4881
Floyd,241.0,12295
Fountain,70.0,3909
Franklin,50.0,3054
Fulton,75.0,3738
Gibson,123.0,7316
Grant,262.0,12894
Greene,107.0,4863
Hamilton,519.0,52750
Hancock,194.0,13584
Harrison,104.0,7170
Hendricks,415.0,27068
Henry,176.0,9476
Howard,328.0,17257
Huntington,121.0,7960
Jackson,98.0,7922
Jasper,100.0,6392
Jay,57.0,3464
Jefferson,109.0,6142
Jennings,70.0,4664
Johnson,490.0,28422
Knox,118.0,7103
Kosciusko,174.0,14840
LaGrange,94.0,4448
LaPorte,274.0,17782
Lake,1321.0,74618
Lawrence,191.0,8276
Madison,489.0,21783
Marion,2354.0,149028
Marshall,156.0,9461
Martin,20.0,1549
Miami,117.0,6784
Monroe,225.0,17034
Montgomery,125.0,7401
Morgan,207.0,10729
Newton,56.0,1883
Noble,129.0,9624
Ohio,13.0,941
Orange,79.0,3432
Owen,81.0,3641
Parke,33.0,2571
Perry,58.0,3035
Pike,46.0,2587
Porter,410.0,26529
Posey,44.0,4201
Pulaski,61.0,2180
Putnam,89.0,6617
Randolph,109.0,4144
Ripley,96.0,5769
Rush,33.0,3291
Scott,82.0,5077
Shelby,145.0,9706
Spencer,50.0,3718
St. Joseph,681.0,51518
Starke,78.0,3694
Steuben,92.0,6940
Sullivan,57.0,3562
Switzerland,13.0,1521
Tippecanoe,285.0,31749
Tipton,70.0,2577
Union,17.0,1305
Unknown,0.0,2
Vanderburgh,515.0,35410
Vermillion,59.0,2900
Vigo,323.0,19523
Wabash,118.0,6461
Warren,19.0,1427
Warrick,198.0,12552
Washington,57.0,4000
Wayne,277.0,12770
Wells,109.0,5041
White,72.0,4950
Whitley,62.0,6836
