State,deaths,cases
Allen,26.0,2412
Anderson,23.0,1264
Atchison,26.0,2744
Barber,7.0,646
Barton,70.0,4507
Bourbon,44.0,2742
Brown,42.0,1913
Butler,142.0,12204
Chase,4.0,443
Chautauqua,14.0,584
Cherokee,78.0,3912
Cheyenne,14.0,490
Clark,7.0,362
Clay,31.0,1358
Cloud,32.0,1738
Coffey,30.0,1456
Comanche,13.0,345
Cowley,130.0,6553
Crawford,117.0,7380
Decatur,15.0,490
Dickinson,61.0,3330
Doniphan,29.0,1633
Douglas,107.0,13647
Edwards,13.0,460
Elk,6.0,378
Ellis,76.0,5000
Ellsworth,31.0,1539
Finney,97.0,8342
Ford,98.0,7595
Franklin,67.0,4291
Geary,61.0,5117
Gove,22.0,594
Graham,12.0,365
Grant,32.0,1522
Gray,23.0,950
Greeley,3.0,225
Greenwood,17.0,1103
Hamilton,3.0,337
Harper,25.0,1150
Harvey,100.0,5869
Haskell,9.0,689
Hodgeman,10.0,270
Jackson,20.0,2495
Jefferson,51.0,2987
Jewell,11.0,611
Johnson,981.0,86028
Kearny,17.0,957
Kingman,24.0,1377
Kiowa,7.0,446
Labette,65.0,4142
Lane,9.0,216
Leavenworth,142.0,11574
Lincoln,7.0,422
Linn,21.0,1790
Logan,9.0,559
Lyon,98.0,6116
Marion,35.0,2025
Marshall,34.0,1889
McPherson,98.0,5116
Meade,14.0,779
Miami,70.0,4884
Mitchell,17.0,906
Montgomery,123.0,5775
Morris,22.0,915
Morton,10.0,462
Nemaha,56.0,2314
Neosho,54.0,3181
Ness,17.0,555
Norton,35.0,1626
Osage,39.0,2370
Osborne,15.0,542
Ottawa,15.0,874
Pawnee,21.0,1594
Phillips,28.0,1030
Pottawatomie,47.0,3337
Pratt,27.0,1409
Rawlins,7.0,570
Reno,176.0,13233
Republic,14.0,963
Rice,16.0,1670
Riley,65.0,8591
Rooks,15.0,925
Rush,16.0,575
Russell,34.0,1393
Saline,195.0,9552
Scott,32.0,915
Sedgwick,1087.0,90060
Seward,54.0,5327
Shawnee,485.0,28694
Sheridan,16.0,587
Sherman,15.0,1139
Smith,3.0,484
Stafford,22.0,800
Stanton,7.0,330
Stevens,16.0,1031
Sumner,62.0,3719
Thomas,23.0,1759
Trego,8.0,542
Unknown,1009.0,0
Wabaunsee,19.0,1074
Wallace,5.0,332
Washington,17.0,942
Wichita,8.0,334
Wilson,34.0,1732
Woodson,10.0,476
Wyandotte,391.0,29979
