State,deaths,cases
Acadia,251.0,10726
Allen,118.0,4820
Ascension,249.0,22196
Assumption,57.0,3705
Avoyelles,181.0,7414
Beauregard,127.0,6196
Bienville,99.0,2531
Bossier,410.0,22278
Caddo,982.0,40397
Calcasieu,633.0,35137
Caldwell,41.0,2324
Cameron,8.0,867
Catahoula,48.0,1819
Claiborne,66.0,2058
Concordia,80.0,3293
De Soto,113.0,4848
East Baton Rouge,1174.0,64936
East Carroll,32.0,1719
East Feliciana,145.0,4554
Evangeline,143.0,5949
Franklin,141.0,4834
Grant,78.0,3923
Iberia,228.0,12707
Iberville,129.0,5911
Jackson,64.0,2826
Jefferson,1183.0,70741
Jefferson Davis,130.0,4821
LaSalle,46.0,2795
Lafayette,410.0,39840
Lafourche,321.0,18294
Lincoln,117.0,7320
Livingston,385.0,24935
Madison,55.0,2293
Morehouse,116.0,4601
Natchitoches,137.0,6783
Orleans,1006.0,47851
Ouachita,604.0,32470
Plaquemines,40.0,4065
Pointe Coupee,85.0,4012
Rapides,478.0,21670
Red River,49.0,1425
Richland,80.0,4422
Sabine,96.0,4584
St. Bernard,98.0,7074
St. Charles,128.0,9045
St. Helena,19.0,1268
St. James,70.0,3558
St. John the Baptist,173.0,6418
St. Landry,351.0,14469
St. Martin,163.0,8565
St. Mary,227.0,8629
St. Tammany,738.0,44620
Tangipahoa,530.0,23146
Tensas,10.0,564
Terrebonne,358.0,19923
Union,112.0,4245
Unknown,0.0,587
Vermilion,195.0,10429
Vernon,167.0,6531
Washington,221.0,8294
Webster,152.0,6854
West Baton Rouge,79.0,4463
West Carroll,52.0,2185
West Feliciana,41.0,1515
Winn,58.0,2663
