State,deaths,cases
Allegany,272.0,10728
Anne Arundel,795.0,56118
Baltimore,1906.0,81164
Baltimore city,1383.0,64998
Calvert,102.0,6087
Caroline,54.0,3614
Carroll,297.0,13011
Cecil,194.0,9653
Charles,268.0,15070
Dorchester,87.0,4508
Frederick,397.0,26257
Garrett,86.0,3910
Harford,372.0,22682
Howard,287.0,23811
Kent,57.0,1926
Montgomery,1737.0,86063
Prince George's,1759.0,102695
Queen Anne's,77.0,4275
Somerset,55.0,3471
St. Mary's,176.0,10514
Talbot,58.0,3193
Unknown,46.0,0
Washington,429.0,22032
Wicomico,236.0,11822
Worcester,125.0,5310
