State,deaths,cases
Alcona,51.0,1368
Alger,9.0,1174
Allegan,243.0,19120
Alpena,95.0,4271
Antrim,45.0,2997
Arenac,49.0,2223
Baraga,47.0,1606
Barry,116.0,10169
Bay,449.0,18185
Benzie,45.0,2257
Berrien,359.0,23250
Branch,154.0,8964
Calhoun,425.0,23415
Cass,108.0,8461
Charlevoix,45.0,3205
Cheboygan,78.0,3449
Chippewa,78.0,7896
Clare,123.0,4817
Clinton,143.0,13172
Crawford,20.0,1845
Delta,129.0,6845
Dickinson,89.0,4844
Eaton,295.0,17064
Emmet,56.0,4252
Genesee,1234.0,66135
Gladwin,87.0,3886
Gogebic,58.0,2214
Grand Traverse,156.0,11553
Gratiot,152.0,10258
Hillsdale,155.0,7834
Houghton,63.0,5454
Huron,114.0,6005
Ingham,536.0,38696
Ionia,132.0,14516
Iosco,106.0,3655
Iron,70.0,1792
Isabella,149.0,10763
Jackson,426.0,32507
Kalamazoo,511.0,36843
Kalkaska,44.0,2311
Kent,1167.0,115124
Keweenaw,9.0,386
Lake,28.0,1300
Lapeer,303.0,15072
Leelanau,37.0,2326
Lenawee,238.0,18190
Livingston,314.0,30653
Luce,6.0,1797
Mackinac,17.0,1597
Macomb,3003.0,149528
Manistee,54.0,3085
Marquette,94.0,9526
Mason,61.0,4451
Mecosta,76.0,6055
Menominee,58.0,4018
Midland,169.0,12689
Missaukee,44.0,2153
Monroe,345.0,25138
Montcalm,157.0,13099
Montmorency,39.0,1304
Muskegon,491.0,29885
Newaygo,117.0,8327
Oakland,2920.0,179078
Oceana,78.0,4739
Ogemaw,77.0,3191
Ontonagon,25.0,710
Osceola,52.0,3714
Oscoda,48.0,1136
Otsego,73.0,4117
Ottawa,598.0,52439
Presque Isle,50.0,1674
Roscommon,92.0,3466
Saginaw,744.0,34755
Sanilac,157.0,6382
Schoolcraft,7.0,1126
Shiawassee,157.0,11901
St. Clair,589.0,28237
St. Joseph,142.0,10374
Tuscola,227.0,9435
Unknown,21.0,2128
Van Buren,193.0,11834
Washtenaw,370.0,41808
Wayne,6110.0,242612
Wexford,79.0,4797
