State,deaths,cases
Aitkin,53.0,2334
Anoka,615.0,67206
Becker,75.0,6428
Beltrami,103.0,8412
Benton,132.0,9523
Big Stone,6.0,976
Blue Earth,72.0,12015
Brown,63.0,4852
Carlton,79.0,5742
Carver,77.0,17546
Cass,57.0,5174
Chippewa,43.0,2272
Chisago,86.0,10361
Clay,111.0,12489
Clearwater,23.0,1633
Cook,1.0,324
Cottonwood,33.0,2386
Crow Wing,128.0,11624
Dakota,611.0,70918
Dodge,12.0,3791
Douglas,101.0,8184
Faribault,36.0,2693
Fillmore,15.0,3191
Freeborn,50.0,5954
Goodhue,101.0,8571
Grant,11.0,1054
Hennepin,2081.0,186697
Houston,17.0,2847
Hubbard,49.0,3653
Isanti,88.0,7390
Itasca,104.0,8041
Jackson,16.0,1667
Kanabec,40.0,2651
Kandiyohi,112.0,10161
Kittson,23.0,794
Koochiching,27.0,1863
Lac qui Parle,26.0,1266
Lake,26.0,1398
Lake of the Woods,5.0,544
Le Sueur,36.0,4827
Lincoln,5.0,916
Lyon,63.0,5429
Mahnomen,15.0,1104
Marshall,23.0,1584
Martin,46.0,4009
McLeod,84.0,7497
Meeker,61.0,4504
Mille Lacs,84.0,5554
Morrison,82.0,6924
Mower,50.0,7567
Murray,11.0,1559
Nicollet,61.0,5462
Nobles,55.0,5332
Norman,10.0,1066
Olmsted,132.0,23454
Otter Tail,134.0,10157
Pennington,30.0,2597
Pine,46.0,5377
Pipestone,30.0,1549
Polk,89.0,6179
Pope,10.0,2125
Ramsey,1069.0,77579
Red Lake,11.0,722
Redwood,46.0,2901
Renville,51.0,2764
Rice,146.0,11932
Rock,31.0,1801
Roseau,33.0,3289
Scott,193.0,27226
Sherburne,136.0,19803
Sibley,19.0,2673
St. Louis,431.0,31010
Stearns,296.0,35130
Steele,37.0,7159
Stevens,11.0,1757
Swift,24.0,1788
Todd,46.0,5066
Traverse,6.0,613
Unknown,124.0,679
Wabasha,10.0,3910
Wadena,42.0,3125
Waseca,34.0,4073
Washington,378.0,42781
Watonwan,21.0,2073
Wilkin,16.0,1242
Winona,58.0,7341
Wright,237.0,27122
Yellow Medicine,25.0,1947
