State,deaths,cases
Adair,44.0,3953
Andrew,40.0,3250
Atchison,18.0,888
Audrain,79.0,4263
Barry,92.0,4728
Barton,40.0,1917
Bates,59.0,2574
Benton,70.0,2844
Bollinger,33.0,1953
Boone,191.0,27309
Buchanan,245.0,16925
Butler,127.0,7202
Caldwell,26.0,1283
Callaway,96.0,8289
Camden,148.0,6760
Cape Girardeau,201.0,13899
Carroll,39.0,1553
Carter,18.0,1137
Cass,213.0,16164
Cedar,42.0,1951
Chariton,30.0,1227
Christian,202.0,14224
Clark,27.0,1200
Clay,262.0,17250
Clinton,95.0,3340
Cole,233.0,14125
Cooper,55.0,3067
Crawford,76.0,3928
Dade,38.0,938
Dallas,57.0,2507
Daviess,17.0,1205
DeKalb,37.0,1644
Dent,62.0,2192
Douglas,63.0,1817
Dunklin,93.0,4757
Franklin,264.0,16239
Gasconade,81.0,2467
Gentry,28.0,1594
Greene,832.0,47456
Grundy,55.0,1790
Harrison,21.0,1371
Henry,64.0,3759
Hickory,43.0,1285
Holt,23.0,735
Howard,19.0,1570
Howell,173.0,6335
Iron,28.0,1532
Jackson,844.0,61909
Jasper,259.0,14637
Jefferson,435.0,36477
Johnson,109.0,8104
Joplin,186.0,9347
Kansas City,967.0,70605
Knox,8.0,656
Laclede,149.0,5722
Lafayette,89.0,5236
Lawrence,137.0,5547
Lewis,30.0,1884
Lincoln,94.0,10643
Linn,57.0,1948
Livingston,79.0,2717
Macon,34.0,2513
Madison,40.0,2522
Maries,21.0,1121
Marion,100.0,5728
McDonald,63.0,4181
Mercer,9.0,493
Miller,100.0,4361
Mississippi,49.0,2411
Moniteau,46.0,2855
Monroe,32.0,1516
Montgomery,34.0,1695
Morgan,73.0,2876
New Madrid,70.0,3492
Newton,169.0,8274
Nodaway,37.0,4092
Oregon,26.0,1487
Osage,35.0,2366
Ozark,42.0,1268
Pemiscot,59.0,2143
Perry,39.0,3554
Pettis,128.0,8050
Phelps,196.0,6999
Pike,51.0,3008
Platte,71.0,6820
Polk,80.0,5542
Pulaski,97.0,5722
Putnam,19.0,721
Ralls,18.0,1741
Randolph,80.0,4057
Ray,62.0,3420
Reynolds,12.0,835
Ripley,51.0,2091
Saline,84.0,4481
Schuyler,22.0,509
Scotland,15.0,464
Scott,132.0,7783
Shannon,29.0,1153
Shelby,13.0,1067
St. Charles,729.0,67107
St. Clair,27.0,1360
St. Francois,216.0,13026
St. Louis,2665.0,139988
St. Louis city,628.0,35257
Ste. Genevieve,34.0,2592
Stoddard,107.0,4746
Stone,100.0,4278
Sullivan,17.0,1301
Taney,173.0,9566
Texas,65.0,3404
Unknown,0.0,7789
Vernon,82.0,3399
Warren,75.0,5600
Washington,98.0,4257
Wayne,35.0,1768
Webster,116.0,6169
Worth,2.0,303
Wright,66.0,2792
