State,deaths,cases
Adams,125.0,4803
Alcorn,108.0,6025
Amite,57.0,2113
Attala,90.0,3434
Benton,39.0,1541
Bolivar,151.0,6512
Calhoun,51.0,2905
Carroll,41.0,1771
Chickasaw,68.0,3246
Choctaw,27.0,1384
Claiborne,39.0,1351
Clarke,95.0,3025
Clay,78.0,3157
Coahoma,112.0,4304
Copiah,95.0,4619
Covington,95.0,4365
DeSoto,434.0,33686
Forrest,261.0,13906
Franklin,30.0,1275
George,80.0,5121
Greene,50.0,2259
Grenada,109.0,3826
Hancock,132.0,7864
Harrison,560.0,35150
Hinds,646.0,32943
Holmes,89.0,2742
Humphreys,39.0,1329
Issaquena,7.0,195
Itawamba,107.0,4952
Jackson,392.0,24987
Jasper,66.0,3421
Jefferson,34.0,975
Jefferson Davis,43.0,1752
Jones,248.0,14233
Kemper,41.0,1460
Lafayette,143.0,8932
Lamar,140.0,10739
Lauderdale,323.0,12396
Lawrence,43.0,2219
Leake,92.0,4151
Lee,245.0,16698
Leflore,144.0,4778
Lincoln,136.0,5563
Lowndes,195.0,11431
Madison,283.0,15049
Marion,112.0,4327
Marshall,142.0,6793
Monroe,179.0,7163
Montgomery,57.0,1829
Neshoba,210.0,6774
Newton,83.0,3976
Noxubee,44.0,1891
Oktibbeha,139.0,7267
Panola,136.0,6850
Pearl River,244.0,9781
Perry,56.0,2151
Pike,157.0,5967
Pontotoc,110.0,7109
Prentiss,86.0,5164
Quitman,28.0,1083
Rankin,405.0,22699
Scott,99.0,4806
Sharkey,21.0,656
Simpson,117.0,4606
Smith,52.0,2717
Stone,66.0,3667
Sunflower,106.0,4352
Tallahatchie,53.0,2336
Tate,118.0,4807
Tippah,84.0,5018
Tishomingo,94.0,3927
Tunica,39.0,1650
Union,99.0,6534
Unknown,0.0,233
Walthall,66.0,2223
Warren,179.0,6942
Washington,170.0,7571
Wayne,72.0,4447
Webster,49.0,2079
Wilkinson,39.0,1068
Winston,92.0,3203
Yalobusha,47.0,2486
Yazoo,93.0,4609
