State,deaths,cases
Beaverhead,22.0,1592
Big Horn,84.0,3442
Blaine,28.0,1435
Broadwater,17.0,992
Carbon,22.0,1575
Carter,5.0,207
Cascade,275.0,16907
Chouteau,8.0,784
Custer,40.0,2411
Daniels,9.0,308
Dawson,50.0,1833
Deer Lodge,27.0,1673
Fallon,8.0,547
Fergus,48.0,1869
Flathead,214.0,21077
Gallatin,103.0,22775
Garfield,3.0,162
Glacier,62.0,2486
Golden Valley,5.0,122
Granite,6.0,409
Hill,71.0,3413
Jefferson,20.0,1919
Judith Basin,1.0,163
Lake,83.0,4740
Lewis and Clark,154.0,12434
Liberty,2.0,267
Lincoln,68.0,3587
Madison,20.0,1409
McCone,8.0,311
Meagher,9.0,276
Mineral,15.0,755
Missoula,189.0,17592
Musselshell,23.0,759
Park,30.0,2744
Petroleum,1.0,26
Phillips,27.0,876
Pondera,6.0,826
Powder River,10.0,285
Powell,24.0,1457
Prairie,2.0,189
Ravalli,118.0,5445
Richland,24.0,1984
Roosevelt,68.0,2335
Rosebud,58.0,1771
Sanders,38.0,1570
Sheridan,10.0,560
Silver Bow,118.0,6294
Stillwater,29.0,1243
Sweet Grass,8.0,599
Teton,19.0,914
Toole,19.0,1004
Treasure,1.0,115
Unknown,1.0,0
Valley,30.0,1386
Wheatland,13.0,273
Wibaux,8.0,177
Yellowstone,462.0,31626
