State,deaths,cases
Alamance,371.0,28003
Alexander,119.0,6924
Alleghany,6.0,1911
Anson,83.0,4083
Ashe,56.0,3776
Avery,39.0,2919
Beaufort,136.0,7619
Bertie,53.0,2583
Bladen,95.0,5716
Brunswick,247.0,17349
Buncombe,451.0,30639
Burke,248.0,16414
Cabarrus,354.0,35139
Caldwell,230.0,14141
Camden,9.0,1250
Carteret,83.0,8843
Caswell,39.0,3380
Catawba,447.0,30018
Chatham,99.0,7200
Cherokee,86.0,4818
Chowan,44.0,2403
Clay,38.0,1727
Cleveland,317.0,19232
Columbus,231.0,10443
Craven,161.0,14812
Cumberland,500.0,48758
Currituck,27.0,3106
Dare,15.0,4279
Davidson,326.0,27577
Davie,82.0,6973
Duplin,198.0,10410
Durham,267.0,36907
Edgecombe,127.0,8253
Forsyth,592.0,55383
Franklin,64.0,10541
Gaston,637.0,42704
Gates,18.0,1161
Graham,28.0,1395
Granville,106.0,8454
Greene,56.0,3446
Guilford,929.0,72045
Halifax,144.0,8112
Harnett,273.0,19382
Haywood,155.0,8114
Henderson,219.0,16512
Hertford,72.0,2927
Hoke,87.0,7631
Hyde,12.0,866
Iredell,336.0,31088
Jackson,72.0,6057
Johnston,343.0,34310
Jones,36.0,1393
Lee,113.0,9774
Lenoir,179.0,9848
Lincoln,118.0,16195
Macon,85.0,5202
Madison,66.0,3001
Martin,75.0,3813
McDowell,138.0,8957
Mecklenburg,1294.0,165456
Mitchell,24.0,2245
Montgomery,110.0,4744
Moore,253.0,14271
Nash,238.0,15820
New Hanover,298.0,29728
Northampton,66.0,2656
Onslow,275.0,30879
Orange,111.0,12526
Pamlico,26.0,1776
Pasquotank,110.0,5627
Pender,102.0,9361
Perquimans,16.0,1728
Person,89.0,5550
Pitt,146.0,30942
Polk,49.0,2471
Randolph,332.0,23212
Richmond,150.0,7502
Robeson,444.0,25845
Rockingham,217.0,13412
Rowan,481.0,27585
Rutherford,342.0,11885
Sampson,141.0,11739
Scotland,109.0,5934
Stanly,206.0,12455
Stokes,117.0,6987
Surry,247.0,13590
Swain,28.0,2179
Transylvania,52.0,4092
Tyrrell,7.0,599
Union,374.0,39021
Unknown,0.0,998
Vance,104.0,7228
Wake,911.0,137498
Warren,33.0,2521
Washington,37.0,1667
Watauga,42.0,7075
Wayne,317.0,18024
Wilkes,196.0,11378
Wilson,243.0,13727
Yadkin,76.0,6622
Yancey,36.0,3144
