State,deaths,cases
Adams,6.0,456
Barnes,39.0,2130
Benson,21.0,1444
Billings,1.0,115
Bottineau,23.0,1168
Bowman,8.0,671
Burke,3.0,356
Burleigh,272.0,24556
Cass,274.0,37322
Cavalier,6.0,579
Dickey,38.0,1156
Divide,3.0,327
Dunn,7.0,842
Eddy,6.0,568
Emmons,16.0,598
Foster,19.0,712
Golden Valley,4.0,378
Grand Forks,100.0,14432
Grant,8.0,359
Griggs,2.0,443
Hettinger,7.0,551
Kidder,13.0,396
LaMoure,17.0,759
Logan,11.0,343
McHenry,28.0,1035
McIntosh,9.0,527
McKenzie,23.0,2571
McLean,46.0,2148
Mercer,20.0,1933
Morton,127.0,8266
Mountrail,31.0,2179
Nelson,16.0,612
Oliver,4.0,250
Pembina,14.0,1444
Pierce,29.0,839
Ramsey,41.0,2554
Ransom,23.0,1042
Renville,14.0,445
Richland,21.0,2907
Rolette,36.0,3447
Sargent,9.0,750
Sheridan,4.0,229
Sioux,18.0,971
Slope,0.0,56
Stark,77.0,8919
Steele,2.0,295
Stutsman,92.0,5019
Towner,11.0,460
Traill,21.0,1624
Unknown,41.0,41
Walsh,30.0,2522
Ward,230.0,14762
Wells,10.0,736
Williams,58.0,7795
