State,deaths,cases
Adams,54.0,4623
Antelope,8.0,806
Arthur,1.0,26
Banner,0.0,71
Blaine,0.0,48
Boone,4.0,824
Box Butte,12.0,1695
Boyd,3.0,298
Brown,4.0,407
Buffalo,57.0,8771
Burt,12.0,921
Butler,12.0,1312
Cass,23.0,4071
Cedar,11.0,1080
Chase,5.0,635
Cherry,8.0,441
Cheyenne,19.0,1470
Clay,17.0,1090
Colfax,21.0,1979
Cuming,15.0,1416
Custer,19.0,1591
Dakota,82.0,5020
Dawes,21.0,1137
Dawson,31.0,4182
Deuel,2.0,244
Dixon,9.0,864
Dodge,83.0,6998
Douglas,877.0,96705
Dundy,4.0,270
Fillmore,13.0,772
Franklin,4.0,352
Frontier,1.0,435
Furnas,5.0,809
Gage,20.0,2758
Garden,1.0,256
Garfield,1.0,306
Gosper,5.0,276
Grant,4.0,88
Greeley,1.0,312
Hall,120.0,11036
Hamilton,19.0,1531
Harlan,0.0,334
Hayes,0.0,92
Hitchcock,5.0,430
Holt,15.0,1516
Hooker,3.0,94
Howard,10.0,828
Jefferson,3.0,976
Johnson,10.0,753
Kearney,5.0,940
Keith,10.0,1120
Keya Paha,0.0,99
Kimball,9.0,605
Knox,13.0,1249
Lancaster,339.0,48000
Lincoln,80.0,6183
Logan,0.0,116
Loup,0.0,69
Madison,44.0,6818
McPherson,1.0,56
Merrick,15.0,1254
Morrill,16.0,944
Nance,10.0,605
Nemaha,13.0,1078
Nuckolls,12.0,711
Otoe,13.0,2325
Pawnee,4.0,317
Perkins,11.0,417
Phelps,10.0,1659
Pierce,21.0,962
Platte,50.0,6127
Polk,18.0,861
Red Willow,15.0,1885
Richardson,24.0,1166
Rock,2.0,158
Saline,3.0,2715
Sarpy,188.0,32142
Saunders,20.0,3620
Scotts Bluff,102.0,7124
Seward,38.0,2485
Sheridan,23.0,841
Sherman,4.0,442
Sioux,1.0,61
Stanton,11.0,551
Thayer,7.0,792
Thomas,1.0,79
Thurston,11.0,1133
Unknown,0.0,1901
Valley,2.0,563
Washington,29.0,3203
Wayne,7.0,1383
Webster,8.0,545
Wheeler,0.0,93
York,19.0,2597
