State,deaths,cases
Bernalillo,1212.0,91981
Catron,8.0,273
Chaves,223.0,14655
Cibola,153.0,4917
Colfax,53.0,1890
Curry,131.0,8282
De Baca,3.0,370
Doña Ana,567.0,38784
Eddy,218.0,12065
Grant,56.0,3929
Guadalupe,15.0,937
Harding,4.0,52
Hidalgo,12.0,650
Lea,287.0,15035
Lincoln,42.0,3544
Los Alamos,10.0,967
Luna,99.0,4730
McKinley,529.0,17149
Mora,12.0,433
Otero,131.0,10462
Quay,25.0,1462
Rio Arriba,87.0,5971
Roosevelt,72.0,3260
San Juan,609.0,27491
San Miguel,31.0,3188
Sandoval,291.0,19796
Santa Fe,187.0,15874
Sierra,61.0,1411
Socorro,66.0,2336
Taos,71.0,3069
Torrance,25.0,2122
Union,12.0,681
Unknown,0.0,10
Valencia,172.0,12002
