State,deaths,cases
Albany,422.0,36288
Allegany,126.0,6469
Broome,444.0,29937
Cattaraugus,171.0,10715
Cayuga,116.0,10325
Chautauqua,201.0,16180
Chemung,182.0,13704
Chenango,98.0,6016
Clinton,50.0,8676
Columbia,116.0,6153
Cortland,89.0,6464
Delaware,55.0,4889
Dutchess,518.0,39561
Erie,2131.0,132934
Essex,43.0,3228
Franklin,27.0,5884
Fulton,118.0,8361
Genesee,149.0,9296
Greene,92.0,5265
Hamilton,3.0,551
Herkimer,147.0,9011
Jefferson,112.0,12251
Lewis,40.0,4461
Livingston,81.0,7760
Madison,111.0,7968
Monroe,1276.0,103401
Montgomery,168.0,7687
Nassau,3346.0,234881
New York City,34956.0,1183680
Niagara,439.0,30826
Oneida,666.0,35182
Onondaga,837.0,62935
Ontario,123.0,12647
Orange,807.0,64832
Orleans,98.0,5993
Oswego,138.0,15263
Otsego,70.0,5914
Putnam,101.0,13714
Rensselaer,201.0,18703
Rockland,785.0,56757
Saratoga,243.0,26713
Schenectady,256.0,20453
Schoharie,26.0,3008
Schuyler,22.0,2120
Seneca,71.0,3547
St. Lawrence,149.0,13945
Steuben,202.0,13568
Suffolk,3711.0,266425
Sullivan,90.0,10276
Tioga,74.0,6877
Tompkins,65.0,8058
Ulster,298.0,20042
Unknown,1170.0,0
Warren,100.0,7938
Washington,85.0,7343
Wayne,112.0,11148
Westchester,2360.0,152046
Wyoming,71.0,5741
Yates,34.0,2150
