State,deaths,cases
Adams,111.0,4721
Allen,329.0,19661
Ashland,157.0,8314
Ashtabula,252.0,13512
Athens,98.0,8540
Auglaize,121.0,8221
Belmont,235.0,10710
Brown,121.0,7418
Butler,829.0,58487
Carroll,80.0,3867
Champaign,91.0,6012
Clark,400.0,22983
Clermont,374.0,32244
Clinton,108.0,6714
Columbiana,347.0,17474
Coshocton,114.0,5824
Crawford,154.0,7621
Cuyahoga,2692.0,175914
Darke,181.0,8681
Defiance,117.0,7586
Delaware,189.0,28037
Erie,209.0,13141
Fairfield,292.0,25420
Fayette,72.0,5115
Franklin,1858.0,183940
Fulton,122.0,7472
Gallia,79.0,4853
Geauga,181.0,11398
Greene,381.0,24968
Guernsey,89.0,7241
Hamilton,1559.0,116608
Hancock,178.0,11960
Hardin,108.0,5108
Harrison,54.0,2228
Henry,81.0,4520
Highland,122.0,6967
Hocking,93.0,4252
Holmes,143.0,4109
Huron,164.0,10161
Jackson,101.0,5988
Jefferson,235.0,9948
Knox,179.0,9087
Lake,516.0,33777
Lawrence,173.0,10916
Licking,351.0,27531
Logan,116.0,7293
Lorain,669.0,44259
Lucas,1044.0,65001
Madison,94.0,6660
Mahoning,799.0,37002
Marion,199.0,13806
Medina,362.0,27185
Meigs,62.0,3124
Mercer,100.0,7107
Miami,355.0,17864
Monroe,62.0,2426
Montgomery,1433.0,82724
Morgan,39.0,2249
Morrow,66.0,5359
Muskingum,214.0,17169
Noble,49.0,2256
Ottawa,104.0,5828
Paulding,52.0,3365
Perry,82.0,5806
Pickaway,155.0,12516
Pike,78.0,4764
Portage,293.0,22300
Preble,142.0,6498
Putnam,122.0,6435
Richland,353.0,21847
Ross,230.0,12109
Sandusky,176.0,9712
Scioto,189.0,12833
Seneca,166.0,9237
Shelby,135.0,7768
Stark,1204.0,55935
Summit,1233.0,74965
Trumbull,633.0,28579
Tuscarawas,370.0,15068
Union,76.0,9858
Unknown,6.0,0
Van Wert,98.0,4802
Vinton,40.0,1945
Warren,423.0,36976
Washington,159.0,8827
Wayne,311.0,16324
Williams,104.0,6705
Wood,257.0,20787
Wyandot,77.0,3917
