State,deaths,cases
Adair,63.0,5056
Alfalfa,9.0,1400
Atoka,40.0,2825
Beaver,9.0,636
Beckham,81.0,3966
Blaine,32.0,1645
Bryan,114.0,9275
Caddo,137.0,5435
Canadian,305.0,24485
Carter,195.0,9416
Cherokee,126.0,9265
Choctaw,52.0,2813
Cimarron,0.0,373
Cleveland,632.0,45821
Coal,20.0,1089
Comanche,329.0,21627
Cotton,23.0,1013
Craig,36.0,3191
Creek,269.0,11799
Custer,133.0,5494
Delaware,166.0,7737
Dewey,22.0,747
Ellis,6.0,540
Garfield,218.0,10692
Garvin,106.0,4973
Grady,195.0,8734
Grant,8.0,721
Greer,26.0,797
Harmon,9.0,383
Harper,10.0,549
Haskell,30.0,1905
Hughes,48.0,1801
Jackson,89.0,4287
Jefferson,20.0,974
Johnston,49.0,2021
Kay,172.0,8041
Kingfisher,56.0,2710
Kiowa,45.0,1210
Latimer,28.0,1605
Le Flore,92.0,8570
Lincoln,117.0,5120
Logan,122.0,6441
Love,30.0,2045
Major,33.0,1448
Marshall,31.0,2886
Mayes,131.0,7103
McClain,107.0,7775
McCurtain,138.0,5895
McIntosh,101.0,2992
Murray,57.0,2731
Muskogee,274.0,13970
Noble,33.0,1978
Nowata,32.0,1889
Okfuskee,49.0,2437
Oklahoma,1953.0,124882
Okmulgee,151.0,6431
Osage,136.0,7318
Ottawa,106.0,6430
Pawnee,69.0,2794
Payne,125.0,12414
Pittsburg,166.0,7122
Pontotoc,106.0,7188
Pottawatomie,212.0,12919
Pushmataha,40.0,1861
Roger Mills,12.0,632
Rogers,305.0,16842
Seminole,107.0,4066
Sequoyah,93.0,6968
Stephens,150.0,8033
Texas,41.0,4369
Tillman,26.0,1056
Tulsa,1788.0,113212
Unknown,2.0,6668
Wagoner,215.0,13507
Washington,209.0,8786
Washita,33.0,1694
Woods,29.0,1723
Woodward,55.0,4100
