State,deaths,cases
Baker,35.0,2240
Benton,41.0,6311
Clackamas,400.0,33553
Clatsop,35.0,2683
Columbia,58.0,4462
Coos,113.0,5952
Crook,58.0,3491
Curry,39.0,1947
Deschutes,201.0,24214
Douglas,301.0,13778
Gilliam,4.0,186
Grant,17.0,1095
Harney,33.0,1229
Hood River,37.0,2203
Jackson,366.0,25426
Jefferson,69.0,4294
Josephine,254.0,10455
Klamath,156.0,9171
Lake,21.0,1065
Lane,366.0,30734
Lincoln,57.0,3728
Linn,189.0,15149
Malheur,93.0,5952
Marion,526.0,40612
Morrow,25.0,1997
Multnomah,867.0,61622
Polk,105.0,8464
Sherman,3.0,195
Tillamook,47.0,2232
Umatilla,184.0,15209
Union,57.0,3433
Unknown,0.0,1
Wallowa,13.0,767
Wasco,47.0,3223
Washington,415.0,42997
Wheeler,1.0,129
Yamhill,148.0,9990
