State,deaths,cases
Adams,254.0,15443
Allegheny,2570.0,158347
Armstrong,247.0,11079
Beaver,553.0,27699
Bedford,202.0,8154
Berks,1233.0,68576
Blair,457.0,21869
Bradford,145.0,9833
Bucks,1504.0,82569
Butler,579.0,30522
Cambria,587.0,23793
Cameron,13.0,616
Carbon,220.0,10658
Centre,267.0,23809
Chester,918.0,58320
Clarion,160.0,6256
Clearfield,240.0,13477
Clinton,97.0,6349
Columbia,171.0,9934
Crawford,234.0,14215
Cumberland,678.0,33192
Dauphin,721.0,39890
Delaware,1538.0,68673
Elk,68.0,5041
Erie,579.0,38256
Fayette,491.0,21559
Forest,30.0,1803
Franklin,510.0,25342
Fulton,40.0,2843
Greene,73.0,5992
Huntingdon,191.0,7973
Indiana,277.0,11602
Jefferson,165.0,6501
Juniata,137.0,3556
Lackawanna,567.0,26762
Lancaster,1456.0,82430
Lawrence,317.0,13437
Lebanon,366.0,24233
Lehigh,991.0,56202
Luzerne,1014.0,48526
Lycoming,415.0,20546
McKean,108.0,6084
Mercer,384.0,16828
Mifflin,231.0,8604
Monroe,396.0,23091
Montgomery,1937.0,97164
Montour,76.0,2998
Northampton,836.0,51563
Northumberland,439.0,15756
Perry,135.0,6327
Philadelphia,4154.0,197981
Pike,70.0,6403
Potter,70.0,2470
Schuylkill,522.0,23930
Snyder,116.0,5681
Somerset,293.0,13001
Sullivan,24.0,731
Susquehanna,79.0,5059
Tioga,161.0,5831
Union,122.0,8467
Unknown,0.0,18
Venango,183.0,8555
Warren,166.0,5350
Washington,465.0,31916
Wayne,129.0,6893
Westmoreland,1021.0,54697
Wyoming,73.0,3465
York,1106.0,74629
