State,deaths,cases
Abbeville,53.0,4032
Aiken,356.0,27772
Allendale,21.0,1377
Anderson,801.0,38200
Bamberg,64.0,2188
Barnwell,88.0,3965
Beaufort,319.0,27849
Berkeley,357.0,31864
Calhoun,53.0,1787
Charleston,747.0,67416
Cherokee,260.0,10422
Chester,123.0,6662
Chesterfield,151.0,7670
Clarendon,136.0,5242
Colleton,190.0,5782
Darlington,234.0,12401
Dillon,117.0,6497
Dorchester,391.0,34752
Edgefield,59.0,4558
Fairfield,93.0,3368
Florence,553.0,27417
Georgetown,186.0,9986
Greenville,1535.0,109023
Greenwood,237.0,13095
Hampton,75.0,3153
Horry,917.0,64420
Jasper,82.0,4019
Kershaw,215.0,12526
Lancaster,238.0,16914
Laurens,238.0,12149
Lee,79.0,2694
Lexington,725.0,56131
Marion,143.0,5572
Marlboro,84.0,4955
McCormick,30.0,1432
Newberry,151.0,7803
Oconee,249.0,16229
Orangeburg,340.0,14900
Pickens,499.0,28881
Richland,795.0,70854
Saluda,57.0,2619
Spartanburg,1254.0,63807
Sumter,306.0,16949
Union,112.0,4914
Unknown,2.0,0
Williamsburg,129.0,5747
York,533.0,49084
