State,deaths,cases
Aurora,17.0,578
Beadle,48.0,3573
Bennett,9.0,521
Bon Homme,30.0,1780
Brookings,41.0,5510
Brown,107.0,7437
Brule,15.0,982
Buffalo,16.0,472
Butte,35.0,2115
Campbell,5.0,204
Charles Mix,28.0,2056
Clark,5.0,570
Clay,17.0,2376
Codington,90.0,6205
Corson,15.0,735
Custer,19.0,1475
Davison,71.0,4217
Day,30.0,885
Deuel,12.0,780
Dewey,34.0,2154
Douglas,12.0,573
Edmunds,14.0,678
Fall River,24.0,1217
Faulk,15.0,450
Grant,46.0,1483
Gregory,31.0,827
Haakon,11.0,345
Hamlin,40.0,1129
Hand,8.0,427
Hanson,5.0,481
Harding,2.0,168
Hughes,50.0,3446
Hutchinson,28.0,1262
Hyde,5.0,219
Jackson,19.0,428
Jerauld,18.0,318
Jones,1.0,148
Kingsbury,19.0,988
Lake,20.0,1736
Lawrence,71.0,4810
Lincoln,79.0,11312
Lyman,11.0,850
Marshall,8.0,530
McCook,29.0,1046
McPherson,8.0,360
Meade,53.0,5007
Mellette,4.0,348
Miner,11.0,371
Minnehaha,417.0,41327
Moody,24.0,928
Oglala Lakota,54.0,2619
Pennington,271.0,23068
Perkins,16.0,494
Potter,5.0,490
Roberts,45.0,1698
Sanborn,3.0,422
Spink,29.0,1096
Stanley,3.0,501
Sully,3.0,195
Todd,40.0,1876
Tripp,21.0,950
Turner,62.0,1471
Union,46.0,2949
Unknown,0.0,56
Walworth,19.0,973
Yankton,44.0,4129
Ziebach,10.0,480
