State,deaths,cases
Anderson,238.0,13801
Bedford,173.0,9670
Benton,60.0,3029
Bledsoe,26.0,3585
Blount,284.0,24895
Bradley,242.0,22927
Campbell,93.0,7669
Cannon,45.0,2895
Carroll,113.0,5952
Carter,236.0,11157
Cheatham,77.0,7313
Chester,78.0,3640
Claiborne,120.0,5918
Clay,37.0,1582
Cocke,122.0,7690
Coffee,171.0,11010
Crockett,65.0,3426
Cumberland,237.0,11727
Davidson,1226.0,137371
DeKalb,77.0,4362
Decatur,44.0,2520
Dickson,173.0,10884
Dyer,156.0,8285
Fayette,110.0,7569
Fentress,72.0,3888
Franklin,108.0,8276
Gibson,195.0,10907
Giles,131.0,6265
Grainger,74.0,4607
Greene,249.0,14657
Grundy,44.0,2955
Hamblen,223.0,13537
Hamilton,726.0,66466
Hancock,21.0,1309
Hardeman,88.0,5220
Hardin,91.0,5755
Hawkins,188.0,11040
Haywood,79.0,3942
Henderson,110.0,5960
Henry,96.0,5647
Hickman,81.0,4845
Houston,47.0,1958
Humphreys,50.0,3400
Jackson,43.0,2138
Jefferson,165.0,10369
Johnson,54.0,4044
Knox,977.0,82191
Lake,32.0,2035
Lauderdale,73.0,5287
Lawrence,134.0,9865
Lewis,44.0,2575
Lincoln,100.0,6887
Loudon,108.0,9588
Macon,100.0,5630
Madison,330.0,18348
Marion,75.0,5938
Marshall,95.0,7096
Maury,247.0,20086
McMinn,147.0,10885
McNairy,77.0,4853
Meigs,33.0,2265
Monroe,140.0,10088
Montgomery,371.0,34133
Moore,25.0,1474
Morgan,51.0,3987
Obion,121.0,7018
Overton,86.0,4973
Perry,35.0,1660
Pickett,26.0,1135
Polk,34.0,3298
Putnam,228.0,17304
Rhea,101.0,7231
Roane,168.0,10483
Robertson,206.0,14568
Rutherford,610.0,64768
Scott,69.0,5826
Sequatchie,39.0,3089
Sevier,290.0,21115
Shelby,2409.0,151071
Smith,55.0,4293
Stewart,39.0,2225
Sullivan,473.0,29321
Sumner,451.0,35748
Tipton,150.0,11867
Trousdale,28.0,3261
Unicoi,69.0,3309
Union,51.0,3528
Unknown,144.0,9341
Van Buren,32.0,1312
Warren,133.0,8931
Washington,348.0,23858
Wayne,41.0,4189
Weakley,98.0,6533
White,102.0,5825
Williamson,284.0,41679
Wilson,357.0,28159
