State,deaths,cases
Anderson,208.0,8149
Andrews,65.0,2963
Angelina,422.0,13920
Aransas,67.0,2655
Archer,24.0,1337
Armstrong,8.0,323
Atascosa,209.0,8838
Austin,56.0,3722
Bailey,28.0,1041
Bandera,64.0,2490
Bastrop,187.0,14610
Baylor,24.0,598
Bee,135.0,5404
Bell,745.0,39818
Bexar,5299.0,330630
Blanco,28.0,1319
Borden,2.0,44
Bosque,57.0,2513
Bowie,347.0,13105
Brazoria,860.0,61440
Brazos,368.0,39302
Brewster,23.0,1107
Briscoe,7.0,258
Brooks,47.0,1140
Brown,194.0,7261
Burleson,60.0,3337
Burnet,132.0,7661
Caldwell,156.0,8624
Calhoun,38.0,3922
Callahan,57.0,1936
Cameron,2015.0,67385
Camp,67.0,2106
Carson,28.0,877
Cass,158.0,4588
Castro,40.0,1429
Chambers,102.0,8924
Cherokee,228.0,6901
Childress,22.0,1789
Clay,25.0,1608
Cochran,19.0,508
Coke,18.0,695
Coleman,57.0,1204
Collin,1189.0,135010
Collingsworth,11.0,437
Colorado,55.0,2644
Comal,472.0,20587
Comanche,66.0,2390
Concho,10.0,744
Cooke,105.0,5245
Coryell,168.0,10868
Cottle,9.0,253
Crane,19.0,967
Crockett,17.0,795
Crosby,39.0,1092
Culberson,11.0,409
Dallam,30.0,1359
Dallas,5670.0,421625
Dawson,80.0,2230
DeWitt,86.0,3024
Deaf Smith,87.0,3576
Delta,22.0,672
Denton,1074.0,112576
Dickens,14.0,269
Dimmit,46.0,3824
Donley,18.0,661
Duval,60.0,2009
Eastland,85.0,2260
Ector,561.0,27258
Edwards,8.0,337
El Paso,3006.0,163961
Ellis,486.0,34413
Erath,108.0,6518
Falls,51.0,2619
Fannin,154.0,5124
Fayette,93.0,3665
Fisher,19.0,451
Floyd,40.0,1264
Foard,10.0,186
Fort Bend,1039.0,103670
Franklin,37.0,1389
Freestone,73.0,2803
Frio,78.0,4197
Gaines,66.0,2196
Galveston,717.0,65752
Garza,23.0,755
Gillespie,82.0,3701
Glasscock,3.0,158
Goliad,28.0,670
Gonzales,86.0,3610
Gray,87.0,4115
Grayson,519.0,16714
Gregg,583.0,19519
Grimes,109.0,5331
Guadalupe,349.0,25279
Hale,197.0,8214
Hall,15.0,592
Hamilton,29.0,1346
Hansford,27.0,1188
Hardeman,14.0,459
Hardin,214.0,10550
Harris,9623.0,590783
Harrison,188.0,9349
Hartley,2.0,964
Haskell,35.0,670
Hays,408.0,34206
Hemphill,3.0,730
Henderson,352.0,10045
Hidalgo,3504.0,117902
Hill,170.0,5938
Hockley,138.0,4534
Hood,214.0,9980
Hopkins,148.0,5552
Houston,88.0,2905
Howard,145.0,5905
Hudspeth,14.0,614
Hunt,312.0,11266
Hutchinson,99.0,4175
Irion,2.0,196
Jack,22.0,1024
Jackson,52.0,2795
Jasper,163.0,4161
Jeff Davis,6.0,213
Jefferson,730.0,32254
Jim Hogg,20.0,937
Jim Wells,183.0,7297
Johnson,578.0,29721
Jones,78.0,3299
Karnes,58.0,4289
Kaufman,447.0,24531
Kendall,102.0,5320
Kenedy,2.0,61
Kent,3.0,145
Kerr,141.0,7265
