State,deaths,cases
Beaver,14.0,1204
Box Elder,97.0,10094
Cache,82.0,24236
Carbon,39.0,3674
Daggett,0.0,113
Davis,299.0,62483
Duchesne,21.0,3148
Emery,25.0,1725
Garfield,12.0,718
Grand,5.0,1636
Iron,69.0,10139
Juab,19.0,2151
Kane,12.0,1003
Millard,30.0,2387
Morgan,13.0,2018
Piute,2.0,206
Rich,0.0,276
Salt Lake,1278.0,216146
San Juan,43.0,2781
Sanpete,43.0,5828
Sevier,19.0,4029
Summit,19.0,7639
Tooele,81.0,13753
Uintah,54.0,5596
Unknown,50.0,2173
Utah,619.0,139619
Wasatch,31.0,6812
Washington,331.0,31558
Wayne,0.0,287
Weber,333.0,47386
