State,deaths,cases
Accomack,81.0,4285
Albemarle,113.0,8705
Alexandria city,155.0,15185
Alleghany,84.0,2342
Amelia,42.0,1607
Amherst,62.0,4623
Appomattox,36.0,2597
Arlington,276.0,20112
Augusta,140.0,11010
Bath,15.0,530
Bedford,168.0,10705
Bland,18.0,1148
Botetourt,58.0,4325
Bristol city,50.0,2535
Brunswick,35.0,1871
Buchanan,82.0,2920
Buckingham,40.0,2777
Buena Vista city,31.0,1455
Campbell,152.0,7837
Caroline,56.0,4429
Carroll,105.0,4487
Charles City,21.0,764
Charlotte,28.0,1421
Charlottesville city,62.0,5645
Chesapeake city,374.0,30326
Chesterfield,583.0,42491
Clarke,32.0,1599
Colonial Heights city,70.0,2740
Covington city,18.0,790
Craig,10.0,684
Culpeper,92.0,7177
Cumberland,19.0,773
Danville city,201.0,6582
Dickenson,30.0,2063
Dinwiddie,60.0,3513
Emporia city,46.0,846
Essex,20.0,1356
Fairfax,1178.0,97108
Fairfax city,35.0,1120
Falls Church city,14.0,736
Fauquier,91.0,7807
Floyd,32.0,1629
Fluvanna,29.0,3042
Franklin,115.0,6751
Franklin city,43.0,1699
Frederick,165.0,13035
Fredericksburg city,26.0,3260
Galax city,64.0,1670
Giles,35.0,2454
Gloucester,80.0,4088
Goochland,32.0,2268
Grayson,54.0,2376
Greene,45.0,2413
Greensville,26.0,1978
Halifax,117.0,4235
Hampton city,249.0,15750
Hanover,202.0,12893
Harrisonburg city,114.0,8633
Henrico,737.0,36966
Henry,185.0,7239
Highland,4.0,204
Hopewell city,94.0,3793
Isle of Wight,92.0,4708
James City,99.0,7630
King George,24.0,2972
King William,26.0,2207
King and Queen,9.0,690
Lancaster,24.0,1102
Lee,62.0,3981
Lexington city,37.0,1650
Loudoun,304.0,37054
Louisa,54.0,3693
Lunenburg,23.0,1219
Lynchburg city,199.0,12312
Madison,23.0,1153
Manassas Park city,15.0,1295
Manassas city,54.0,5399
Martinsville city,94.0,2269
Mathews,24.0,936
Mecklenburg,91.0,3656
Middlesex,33.0,1008
Montgomery,116.0,12379
Nelson,23.0,1525
New Kent,27.0,2658
Newport News city,306.0,21531
Norfolk city,361.0,25541
Northampton,47.0,1201
Northumberland,37.0,1279
Norton city,17.0,687
Nottoway,70.0,2683
Orange,63.0,4152
Page,89.0,3744
Patrick,60.0,2373
Petersburg city,105.0,5202
Pittsylvania,133.0,8647
Poquoson city,23.0,1411
Portsmouth city,252.0,13188
Powhatan,31.0,3061
Prince Edward,52.0,3046
Prince George,52.0,5362
Prince William,590.0,58346
Pulaski,98.0,4530
Radford city,36.0,3129
Rappahannock,5.0,654
Richmond,16.0,1746
Richmond city,375.0,25591
Roanoke,186.0,13079
Roanoke city,258.0,13231
Rockbridge,66.0,2328
Rockingham,174.0,10083
Russell,70.0,4300
Salem city,73.0,3979
Scott,86.0,3568
Shenandoah,177.0,7183
Smyth,126.0,5348
Southampton,71.0,2484
Spotsylvania,168.0,16682
Stafford,111.0,17476
Staunton city,85.0,3649
Suffolk city,251.0,11427
Surry,13.0,643
Sussex,29.0,1600
Tazewell,120.0,6325
Unknown,100.0,5448
Virginia Beach city,579.0,52482
Warren,98.0,5661
Washington,161.0,8546
Waynesboro city,53.0,3854
Westmoreland,38.0,2038
Williamsburg city,13.0,1243
Winchester city,57.0,3967
Wise,134.0,6116
Wythe,113.0,4923
York,83.0,5852
