State,deaths,cases
Adams,34.0,3383
Asotin,51.0,3083
Benton,393.0,32644
Chelan,124.0,12632
Clallam,77.0,5431
Clark,569.0,46238
Columbia,9.0,398
Cowlitz,268.0,14600
Douglas,51.0,6796
Ferry,18.0,884
Franklin,184.0,20850
Garfield,7.0,269
Grant,211.0,18406
Grays Harbor,149.0,9750
Island,52.0,4595
Jefferson,20.0,1294
King,2127.0,176450
Kitsap,255.0,18640
Kittitas,55.0,5394
Klickitat,30.0,2305
Lewis,180.0,11277
Lincoln,25.0,1513
Mason,85.0,6619
Okanogan,102.0,5679
Pacific,38.0,1938
Pend Oreille,24.0,1696
Pierce,987.0,101192
San Juan,0.0,448
Skagit,144.0,13157
Skamania,7.0,873
Snohomish,812.0,74152
Spokane,1121.0,79251
Stevens,107.0,5467
Thurston,262.0,23556
Unknown,2.0,2
Wahkiakum,5.0,309
Walla Walla,113.0,9468
Whatcom,182.0,18961
Whitman,82.0,6176
Yakima,642.0,47328
