State,deaths,cases
Adams,37.0,3178
Ashland,23.0,2290
Barron,101.0,10031
Bayfield,30.0,2132
Brown,346.0,54320
Buffalo,9.0,2348
Burnett,33.0,2840
Calumet,77.0,9961
Chippewa,134.0,12856
Clark,91.0,5738
Columbia,97.0,9368
Crawford,23.0,2784
Dane,398.0,64834
Dodge,244.0,18792
Door,44.0,4362
Douglas,70.0,7660
Dunn,53.0,8905
Eau Claire,155.0,19369
Florence,14.0,746
Fond du Lac,180.0,20975
Forest,36.0,1818
Grant,123.0,8889
Green,38.0,5739
Green Lake,43.0,3539
Iowa,20.0,3252
Iron,43.0,1007
Jackson,36.0,4020
Jefferson,174.0,14177
Juneau,46.0,5233
Kenosha,419.0,27706
Kewaunee,49.0,4235
La Crosse,130.0,20509
Lafayette,15.0,2526
Langlade,61.0,3652
Lincoln,120.0,5098
Manitowoc,128.0,14220
Marathon,346.0,26483
Marinette,87.0,8430
Marquette,38.0,2745
Menominee,11.0,1015
Milwaukee,1725.0,166443
Monroe,61.0,7947
Oconto,80.0,8249
Oneida,103.0,6025
Outagamie,295.0,36374
Ozaukee,128.0,14180
Pepin,12.0,1370
Pierce,55.0,7964
Polk,102.0,8777
Portage,121.0,11609
Price,16.0,2330
Racine,491.0,36488
Richland,33.0,2613
Rock,267.0,26207
Rusk,37.0,2524
Sauk,78.0,10242
Sawyer,40.0,3283
Shawano,99.0,8204
Sheboygan,200.0,21789
St. Croix,100.0,16885
Taylor,50.0,3593
Trempealeau,52.0,5754
Unknown,0.0,1
Vernon,70.0,3763
Vilas,64.0,3535
Walworth,207.0,18153
Washburn,31.0,2943
Washington,242.0,26463
Waukesha,790.0,72407
Waupaca,204.0,9770
Waushara,61.0,4248
Winnebago,295.0,32736
Wood,155.0,13545
