State,deaths,cases
Barbour,53.0,3069
Berkeley,202.0,21368
Boone,62.0,4083
Braxton,27.0,2489
Brooke,81.0,3499
Cabell,288.0,16595
Calhoun,9.0,1125
Clay,24.0,1461
Doddridge,12.0,1476
Fayette,141.0,7078
Gilmer,14.0,1498
Grant,42.0,2566
Greenbrier,112.0,5423
Hampshire,54.0,3873
Hancock,121.0,4757
Hardy,37.0,2786
Harrison,190.0,12674
Jackson,98.0,4370
Jefferson,94.0,7944
Kanawha,559.0,27442
Lewis,60.0,3474
Lincoln,54.0,3329
Logan,149.0,5921
Marion,136.0,9331
Marshall,126.0,5860
Mason,63.0,4084
McDowell,56.0,3297
Mercer,191.0,10202
Mineral,129.0,5124
Mingo,93.0,5121
Monongalia,150.0,14756
Monroe,27.0,2350
Morgan,51.0,2501
Nicholas,70.0,4531
Ohio,123.0,6961
Pendleton,16.0,1281
Pleasants,31.0,1532
Pocahontas,21.0,1289
Preston,108.0,6083
Putnam,144.0,10047
Raleigh,204.0,12940
Randolph,58.0,5626
Ritchie,23.0,1618
Roane,27.0,1900
Summers,35.0,1589
Taylor,47.0,2723
Tucker,31.0,1261
Tyler,25.0,1479
Unknown,0.0,1
Upshur,71.0,4578
Wayne,92.0,6209
Webster,26.0,1460
Wetzel,65.0,2878
Wirt,17.0,966
Wood,271.0,14660
Wyoming,75.0,4015
