State,deaths,cases
AK,862,152422
AL,16265,851950
AR,8840,538208
AZ,23021,1312958
CA,75468,5157293
CO,9813,859186
CT,8972,439423
DE,2218,160124
FL,62026,3713214
GA,29700,1644864
HI,1050,86016
IA,7550,546287
ID,4030,311719
IL,29842,1890044
IN,18014,1154552
KS,6858,486980
KY,11606,815487
LA,14877,775935
MA,19634,969589
MD,11255,592912
ME,1367,129997
MI,26880,1564627
MN,9996,956903
MO,15715,954152
MS,10326,519115
MT,2822,193930
NC,18986,1566617
ND,1989,167039
NE,2863,320943
NH,1781,174456
NJ,28568,1299601
NM,5474,329778
NV,8189,478082
NY,57622,2836160
OH,27371,1776439
OK,11384,681346
OR,5381,400188
PA,34571,1829351
RI,2957,201275
SC,14375,929077
SD,2398,171248
TN,17574,1306191
TX,74895,4381540
UT,3640,610818
VA,14895,994069
VT,429,55317
WA,9602,793102
WI,10386,1024195
WV,5085,306552
WY,1472,112862
